,ID,SMILES,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
794,DB00963,NC1=C(CC(O)=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1,333.000055344,3,2,2.889400000000001,True
795,DB00964,NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1,244.02825167999998,4,3,1.9466999999999999,True
796,DB00966,CCCC1=NC2=C(C=C(C=C2C)C2=NC3=CC=CC=C3N2C)N1CC1=CC=C(C=C1)C1=CC=CC=C1C(O)=O,514.2368762,5,1,7.264420000000007,False
797,DB00967,ClC1=CC2=C(C=C1)C(=C1CCNCC1)C1=C(CC2)C=CC=N1,310.12367628800007,2,1,4.018900000000002,True
798,DB00968,C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O,211.084457896,4,4,0.4423000000000001,True
799,DB00969,CN1C2=C(C3=CC=CC=C13)C(=O)N(CC1=C(C)NC=N1)CC2,294.148061196,3,1,2.4083200000000007,True
800,DB00970,[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C,1254.6284746719998,18,5,0.7256400000000023,False
801,DB00971,S=[Se]=S,143.8606633,2,0,0.9156,True
802,DB00972,CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O,381.1607900679999,4,0,4.297500000000004,True
803,DB00973,[H][C@]1(CC[C@H](O)C2=CC=C(F)C=C2)C(=O)N(C2=CC=C(F)C=C2)[C@]1([H])C1=CC=C(O)C=C1,409.148949972,3,2,4.888300000000004,True
804,DB00974,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,292.09066547199996,6,4,-2.0711999999999957,True
805,DB00975,OCCN(CCO)C1=NC2=C(N=C(N=C2N2CCCCC2)N(CCO)CCO)C(=N1)N1CCCCC1,504.31725176000003,12,4,-0.017599999999998284,False
806,DB00976,[H][C@@]12[C@@H](C)C(=O)[C@H](C)C[C@@](C)(OC)[C@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@H](C)C(=O)[C@@H](C)C(=O)O[C@H](CC)[C@@]1(C)OC(=O)N2CCCCN1C=NC(=C1)C1=CC=CN=C1,811.4731432799998,14,1,4.929200000000005,False
807,DB00977,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,296.177630008,2,2,3.6126000000000023,True
808,DB00978,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N3CCNC(C)C3)C(F)=C12,351.139447908,5,2,1.7959,True
809,DB00979,CN(C)CCOC(=O)C(C1=CC=CC=C1)C1(O)CCCC1,291.18344366,4,1,2.1801000000000004,True
810,DB00980,CCC(=O)NCC[C@@H]1CCC2=C1C1=C(OCC1)C=C2,259.157228912,2,1,2.5676000000000005,True
811,DB00981,[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC)=C1)N2C,275.163376912,4,1,1.7739,True
812,DB00982,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C\C(O)=O,300.208930136,1,1,5.602600000000005,True
813,DB00983,COC1=CC=C(CC(C)NCC(O)C2=CC(NC=O)=C(O)C=C2)C=C1,344.173607248,5,4,2.2233,True
814,DB00984,[H][C@@]12CC[C@H](OC(=O)CCC3=CC=CC=C3)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],406.25079494799996,3,0,5.672800000000006,True
815,DB00985,CN1C2=C(N=C(Cl)N2)C(=O)N(C)C1=O.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,469.1880674359999,7,1,2.967900000000001,True
816,DB00986,C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1,318.20637017609,3,1,2.4562999999999997,True
817,DB00987,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,243.085520516,8,4,-2.5629999999999993,True
818,DB00988,NCCC1=CC(O)=C(O)C=C1,153.078978592,3,3,0.5989999999999998,True
819,DB00989,CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C,250.168127944,3,0,2.7597000000000014,True
820,DB00990,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC(=C)C2=CC(=O)C=C[C@]12C,296.177630008,2,0,4.029500000000003,True
821,DB00991,OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1,293.10519334,3,1,4.025800000000003,True
822,DB00992,COC(=O)CCC(=O)CN,145.073893212,4,1,-0.5326000000000002,True
823,DB00993,CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,277.038193464,8,1,1.1458,True
824,DB00995,CC[P+](CC)(CC)[Au-]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,678.132683998,10,0,2.7925000000000004,True
825,DB00996,NCC1(CC(O)=O)CCCCC1,171.125928784,2,2,1.3702999999999994,True
826,DB00997,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O,543.1740607479999,12,6,0.0012999999999995238,False
827,DB00998,CN[C@@H]1CCC2=C(C1)C1=C(N2)C=CC(=C1)C(N)=O,243.137162164,2,3,1.3435,True
828,DB00999,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1,296.96447541599997,5,3,-0.35129999999999967,True
829,DB01000,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1(N)CCCCC1)C(O)=O,341.14092721599997,5,3,0.2797000000000011,True
830,DB01001,CC(C)(C)NCC(O)C1=CC(CO)=C(O)C=C1,239.152143532,4,4,1.3059999999999998,True
831,DB01002,CCCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,288.22016351599996,2,1,3.8965400000000026,True
832,DB01003,OC(COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O)COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O,468.0692613319999,9,3,2.1145,True
833,DB01004,NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1,255.096753896,8,4,-1.970899999999999,True
834,DB01005,NC(=O)NO,76.027277368,2,3,-0.9561000000000002,True
835,DB01006,N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N,285.10144535200004,5,0,2.659160000000001,True
836,DB01007,ClC1=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=CS1,385.98141707599996,4,0,5.862900000000003,True
837,DB01008,CS(=O)(=O)OCCCCOS(C)(=O)=O,246.023180168,6,0,-0.2809999999999997,True
838,DB01009,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,254.094294308,2,1,3.1057000000000015,True
839,DB01010,CC[N+](C)(C)C1=CC(O)=CC=C1,166.12264055209,1,1,1.9789999999999996,True
840,DB01011,CC(C)(C(=O)C1=CN=CC=C1)C1=CC=CN=C1,226.110613068,3,0,2.637100000000001,True
841,DB01012,C[C@@H](NCCCC1=CC(=CC=C1)C(F)(F)F)C1=CC=CC2=CC=CC=C12,357.17043436399996,1,1,6.142000000000005,True
842,DB01013,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,466.19223002399997,5,1,4.103100000000004,True
843,DB01014,OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O,357.09608519999995,6,4,2.7103,True
844,DB01015,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,253.052112212,5,2,1.3660199999999998,True
845,DB01016,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,493.14381967599996,5,3,3.641700000000002,True
846,DB01017,[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,457.184900204,9,5,0.18660000000000165,True
847,DB01018,NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl,245.012267268,2,3,1.5455700000000003,True
848,DB01019,CC(C[N+](C)(C)C)OC(N)=O,161.12845420409,2,1,0.1764,True
849,DB01020,[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O,191.042987008,6,1,-1.2782,True
850,DB01021,NS(=O)(=O)C1=C(Cl)C=C2NC(NS(=O)(=O)C2=C1)C(Cl)Cl,378.90218077599997,5,3,0.8210000000000002,True
